file_key,series_prefix_candidate,series_step_candidate,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,dot_C3H3_C6H6,dot_xy_C3H3_C6H6,axis_abs_z_component_proxy,axis_abs_elevation_deg_proxy,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin
0-0-3-4-12,0-0-3-4,12,45.51,-174.02516284640245,5.974837153597536,6.415315729014537,6.195076441306036,0.44047857541697627,179.55952142458287,-0.99996001558692,-0.358663740690861,0.8008097619884882,53.20749865058774,"[-10,10)","[-10,10)","[-10,10)","[0.25,0.5)"
0-0-3-4-13,0-0-3-4,13,45.24,-169.86292841323282,10.137071586767178,10.695954226498491,10.416512906632837,0.5588826397312955,179.44111736026844,-0.99996001558692,-0.292671868849343,0.8410042489414528,57.24631825083835,"[10,30)","[10,30)","[10,30)","[0.5,3.1]"
0-0-3-4-14,0-0-3-4,14,45.02,-164.47772673494254,15.52227326505746,16.237713075462953,15.879993170260205,0.7154398104054721,179.28456018959432,-0.99996001558692,-0.23465685866259,0.8748160703395486,61.023215084679286,"[10,30)","[10,30)","[10,30)","[0.5,3.1]"
0-0-3-4-15,0-0-3-4,15,44.83,-157.4756539890755,22.5243460109245,23.441251715366782,22.98279886314564,0.9169057044422477,179.08309429555788,-0.99996001558692,-0.186377801846542,0.9019879232785648,64.42061380036992,"[10,30)","[10,30)","[10,30)","[0.5,3.1]"
0-0-3-4-16,0-0-3-4,16,44.69,-148.43193064636134,31.568069353638666,32.723938102288656,32.14600372796367,1.1558687486499546,178.84413125134978,-0.99996001558692,-0.149298687827203,0.922313031329232,67.26660869792589,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-3-4-17,0-0-3-4,17,44.58,-137.10119784788975,42.89880215211025,44.28712996065079,43.59296605638052,1.3883278085405004,178.61167219145926,-0.99996001558692,-0.124543943578153,0.9356367201049599,69.33125613620194,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-3-4-9,0-0-3-4,9,46.59,178.14738731678702,-1.8526126832129646,-1.622901054923534,-1.7377568690682492,0.22971162828943142,179.77028837171085,-0.99996001558692,-0.583654440982163,0.6452174630345625,40.1819820581424,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)"
0-0-3-7-18,0-0-3-7,18,44.66,-121.56474241255617,58.43525758744382,59.33746486202849,58.88636122473616,0.902207274584633,179.09779272541553,-0.99996001558692,-0.3224518519873,0.8231088406763835,55.397222519952116,"[50,70]","[50,70]","[50,70]","[0.5,3.1]"
0-0-3-8-0,0-0-3-8,0,49.99,-167.92495566313423,12.075044336865785,12.090750496172202,12.082897416518993,0.01570615930639326,179.98429384069397,-0.99996001558692,-0.999197263822662,0.027617960899711552,1.5825938295130626,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-1,0-0-3-8,1,50.26,-167.95661213249372,12.043387867506286,12.08778000412735,12.065583935816818,0.044392136621042064,179.9556078633789,-0.99996001558692,-0.998465555720451,0.03865824448250348,2.215506316953022,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-2,0-0-3-8,2,50.33,-167.77274481791895,12.227255182081045,12.300670800439235,12.26396299126014,0.07341561835816174,179.9265843816415,-0.99996001558692,-0.988840234376018,0.10545037321366894,6.0531151001027235,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-3,0-0-3-8,3,50.27,-167.3693262242293,12.630673775770713,12.734007015117573,12.682340395444143,0.10333323934683347,179.8966667606532,-0.99996001558692,-0.970600171742238,0.17134714425598707,9.866154104601558,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-4,0-0-3-8,4,50.07,-166.73806346940864,13.261936530591363,13.396652074453437,13.3292943025224,0.13471554386203624,179.86528445613823,-0.999960015586921,-0.944286151191411,0.2359530978722467,13.6478112811374,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-5,0-0-3-8,5,49.72,-165.8662226878608,14.133777312139188,14.301931856381387,14.217854584260287,0.16815454424218476,179.831845455758,-0.99996001558692,-0.910684538309477,0.29879002205134464,17.384943538329384,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-6,0-0-3-8,6,49.25,-164.73640200712293,15.263597992877079,15.467863460918554,15.365730726897816,0.2042654680414522,179.7957345319584,-0.99996001558692,-0.870803487827185,0.3593835385208052,21.062341846843385,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-3-8-7,0-0-3-8,7,48.68,-163.32630454058713,16.673695459412865,16.91737356918288,16.795534514297874,0.2436781097699994,179.75632189022997,-0.99996001558692,-0.825842408865446,0.4172740187472424,24.662604129170283,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-4-10-0,0-0-4-10,0,49.14,-157.92495566313383,22.07504433686618,22.090750496172205,22.082897416519195,0.015706159305986147,179.98429384069397,-0.99996001558692,-0.999197263822662,0.027617960899711552,1.5825938295130626,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-4-10-1,0-0-4-10,1,49.17,-157.9765330365653,22.023466963434686,22.073332914274083,22.04839993885438,0.049865950839363564,179.95013404916014,-0.99996001558692,-0.999185421107389,0.027831537498512346,1.5948355730347037,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-4-10-2,0-0-4-10,2,49.17,-157.81275156126924,22.18724843873075,22.271406854321143,22.22932764652595,0.08415841559035667,179.91584158440966,-0.99996001558692,-0.992894304020819,0.08405778706402536,4.821846138794069,"[10,30)","[10,30)","[10,30)","[0,0.25)"
