file_key,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin,fold_seed123,nearest_train_axis_angle_deg,train_count_within_5deg,nearest_train_antiparallel_deviation_deg,best_gpr_pred,best_gpr_std,rf_pred,best_gpr_abs_error,rf_abs_error
0-0-3-18-11,11.15,-119.75881611115236,60.241183888847644,60.669757994263556,60.4554709415556,0.42857410541588076,179.5714258945843,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",4,0.0,30,0.0,16.14992175812303,1.7520383213962445,10.0395216653224,4.999921758123028,1.1104783346776
0-0-3-18-12,6.73,-119.86180095033421,60.138199049665786,60.589600184175204,60.3638996169205,0.45140113450938796,179.54859886549022,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",7,0.0,31,0.0,14.70074338768569,3.006411415960505,3.68565652881908,7.97074338768569,3.0443434711809205
0-0-3-18-13,3.9,-119.94975595614503,60.05024404385497,60.5210397579678,60.28564190091138,0.4707957141128031,179.52920428588737,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",6,0.0,31,0.0,14.105623128455075,2.9788945543233205,-0.149967074098019,10.205623128455075,4.049967074098019
0-0-3-18-14,1.89,-120.02201554266425,59.97798445733575,60.464596833801224,60.22129064556849,0.4866123764654469,179.51338762353473,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",1,0.0,26,0.0,14.63823894293543,2.553387641064346,3.76248699655472,12.74823894293543,1.8724869965547202
0-0-3-18-7,39.07,-119.21376085579755,60.786239144202455,61.09297495302476,60.93960704861361,0.3067358088222784,179.69326419117735,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",2,0.2639246544714425,31,0.011301098348097893,26.863139934063454,2.289457802585104,25.2027533406897,12.206860065936546,13.8672466593103
0-0-3-18-9,25.3,-119.51098434317406,60.48901565682594,60.86234913145839,60.675682394142164,0.37333347463242034,179.6266665253678,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",1,0.11602050740576388,25,0.0025369663273210885,21.05121425330997,2.5319067729589304,22.0408409864142,4.248785746690032,3.2591590135858013
0-0-3-4-10,46.18,-179.8268143611763,0.17318563882368293,0.4559270226030483,0.3145563307133656,0.28274138377934727,179.71725861622073,"[-10,10)","[-10,10)","[-10,10)","[0.25,0.5)",1,1.9375915111767268,10,0.00426906200856203,46.14006248509594,3.6542045972127055,45.6286269209698,0.039937514904060833,0.5513730790301992
0-0-3-4-11,45.82,-177.2714964736529,2.7285035263471107,3.0795445478887227,2.9040240371179165,0.35104102154158934,179.64895897845796,"[-10,10)","[-10,10)","[-10,10)","[0.25,0.5)",1,0.27689199043463475,10,0.0016749955734640665,45.70821140637083,3.0666483123442863,45.5690539222703,0.11178859362917137,0.2509460777297008
0-0-3-4-12,45.51,-174.02516284640245,5.974837153597536,6.415315729014537,6.195076441306036,0.44047857541697627,179.55952142458287,"[-10,10)","[-10,10)","[-10,10)","[0.25,0.5)",10,0.1994997945706138,13,0.003936207354955756,45.61644039228135,2.603621889205411,45.0723593566848,0.10644039228134972,0.4376406433151985
0-0-3-4-13,45.24,-169.86292841323282,10.137071586767178,10.695954226498491,10.416512906632837,0.5588826397312955,179.44111736026844,"[10,30)","[10,30)","[10,30)","[0.5,3.1]",4,1.987846675914698e-13,20,4.071187831300449e-13,45.19330630366509,3.3066388123389268,45.2647010533828,0.046693696334912715,0.024701053382798932
0-0-3-4-14,45.02,-164.47772673494254,15.52227326505746,16.237713075462953,15.879993170260205,0.7154398104054721,179.28456018959432,"[10,30)","[10,30)","[10,30)","[0.5,3.1]",8,0.0,18,0.0,45.07074949365904,2.849093878080195,44.9180457114492,0.05074949365903336,0.10195428855080024
0-0-3-4-15,44.83,-157.4756539890755,22.5243460109245,23.441251715366782,22.98279886314564,0.9169057044422477,179.08309429555788,"[10,30)","[10,30)","[10,30)","[0.5,3.1]",3,2.8624992133171654e-14,13,7.638334409421077e-14,44.89126915322423,2.945694230987828,44.9182590202327,0.06126915322423088,0.08825902023270515
0-0-3-4-16,44.69,-148.43193064636134,31.568069353638666,32.723938102288656,32.14600372796367,1.1558687486499546,178.84413125134978,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",4,0.0,11,0.0,44.69092281666612,3.089765131265152,44.7406188970449,0.0009228166661188197,0.05061889704489886
0-0-3-4-17,44.58,-137.10119784788975,42.89880215211025,44.28712996065079,43.59296605638052,1.3883278085405004,178.61167219145926,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",2,5.724998426634331e-14,26,1.2723155862204294e-13,44.67154635013221,2.4293062015671696,44.5426744579107,0.09154635013221224,0.037325542089298835
0-0-3-4-9,46.59,178.14738731678702,-1.8526126832129646,-1.622901054923534,-1.7377568690682492,0.22971162828943142,179.77028837171085,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",5,1.0321569971578848,8,0.0048820870395594185,44.57997872116611,15.152388787138335,45.4471846401507,2.0100212788338965,1.1428153598493012
0-0-3-7-18,44.66,-121.56474241255617,58.43525758744382,59.33746486202849,58.88636122473616,0.902207274584633,179.09779272541553,"[50,70]","[50,70]","[50,70]","[0.5,3.1]",6,0.3221600826328303,33,0.014698429857614714,45.63753264493831,5.836128329468653,44.1806312188336,0.9775326449383144,0.4793687811664
0-0-3-8-0,49.99,-167.92495566313423,12.075044336865785,12.090750496172202,12.082897416518993,0.01570615930639326,179.98429384069397,"[10,30)","[10,30)","[10,30)","[0,0.25)",3,0.01731348070217468,20,1.0177622633555927e-13,49.06465696694302,7.034474117763965,43.2342814571033,0.9253430330569827,6.755718542896702
0-0-3-8-1,50.26,-167.95661213249372,12.043387867506286,12.08778000412735,12.065583935816818,0.044392136621042064,179.9556078633789,"[10,30)","[10,30)","[10,30)","[0,0.25)",10,0.01731348070217468,22,0.0013981302839990023,50.2510536865703,4.513289990374412,52.0851245200005,0.008946313429696318,1.8251245200005002
0-0-3-8-2,50.33,-167.77274481791895,12.227255182081045,12.300670800439235,12.26396299126014,0.07341561835816174,179.9265843816415,"[10,30)","[10,30)","[10,30)","[0,0.25)",1,0.18106557474114765,20,0.005115855461906529,48.23832980074901,3.500694174639246,50.7280048434433,2.0916701992509914,0.398004843443303
0-0-3-8-3,50.27,-167.3693262242293,12.630673775770713,12.734007015117573,12.682340395444143,0.10333323934683347,179.8966667606532,"[10,30)","[10,30)","[10,30)","[0,0.25)",6,3.021526947390341e-14,20,5.088984789125561e-14,50.79646907341311,3.57284753394778,50.5926363390203,0.5264690734131037,0.3226363390202991
